X,Player,avg,gp.gs,ab,r,h,X2b,X3b,hr,rbi,tb,slg.,bb,hbp,so,gdp,ob.,sf,sh,sb.att,era,w.l,app.gs,cg,sho,sv,ip,er,b.avg,wp,bk,Year,Gametype
135,"VIJFVINKEL Pim, STO",0,3-3,7,1,0,0,0,0,0,0,0,0,1,3,1,0.125,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
136,"LITH v Gilian, PIO",0,4-2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
137,"ARENDS Jeffrey, TWI",0,4-0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
138,"GUERRA Eduardo, STO",0,3-1,5,0,0,0,0,0,0,0,0,2,0,4,0,0.286,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
139,"VLIST vd Brian, STO",0,2-1,4,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
140,"TERSTALL, DSS",0,3-1,4,0,0,0,0,0,0,0,0,1,0,2,0,0.2,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
141,"PETERS Tijmen, TWI",0,4-1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
142,"VOS Daniel, PIO",0,1-0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,9.56,0-0,16-0,0,0/0,1,16,17,0.25,6,0,"Seizoen 2019","Reguliere competitie"
143,"LAUF Sem, STO",0,1-0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,6.83,0-9,17-8,0,0/0,0,58,44,0.333,7,1,"Seizoen 2019","Reguliere competitie"
144,"MINGELI Shuruengelo, NEP",0,4-0,2,0,0,0,0,0,0,0,0,1,0,2,0,0.333,0,0,1-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
145,"VISSER Youri, STO",0,1-1,2,0,0,0,0,0,0,0,0,1,0,2,0,0.333,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
146,"ZALINGEN v Gijs, TWI",0,1-0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
147,"KUIT Daan, PIO",0,5-0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
148,"SAMS Kalian, AMS",0,1-0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
149,"HERNANDEZ Joel, NEP",0,4-0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
150,"KWAKERNAAK Thomas, AMS",0,1-0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
151,"WERNET Gilian, HCA",0,1-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0-0,6.75,0-0,2-0,0,0/1,0,2.2,2,0.2,2,0,"Seizoen 2019","Reguliere competitie"
152,"BLOKKER Finn, DSS",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
153,"DALEN v Jasper, QUI",0,1-0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
154,"SUIJKER Matthew, STO",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
155,"BUN Luuk, TWI",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
156,"GOUVERNEUR Odion, DSS",0,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
157,"SEELBACH Den, NEP",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
158,"HALMAN Jason, TWI",0.727,3-3,11,6,8,2,0,3,11,19,1.727,4,0,1,0,0.8,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019",Bottom-4
159,"ANASAGASTI Leandro, DSS",0.571,3-2,7,2,4,2,0,0,0,6,0.857,3,0,2,0,0.7,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019",Bottom-4
